"","POLINTR","STFLIFE","FREEHMS","IMUECLT","HAPPY","INPRDSC","ALCWKND","WRHPP","FLTSD","AGEA","CHLDHM","WKHTOT","happ","stflif","polint","imuecl"
"243",2,10,2,5,8,3,48,4,1,71,2,38,1,1,1,0
"244",3,8,1,4,8,1,46,3,1,31,1,60,1,1,0,0
"245",4,8,1,0,8,1,87,3,1,17,2,0,1,1,0,0
"246",1,7,2,7,8,5,17,3,2,31,1,35,1,1,1,1
"247",2,9,2,8,8,3,25,3,1,33,1,42,1,1,1,1
"248",1,4,2,10,4,6,94,2,1,37,1,42,0,0,1,1
"249",4,8,3,1,9,0,188,4,1,22,2,50,1,1,0,0
"250",2,8,2,2,7,1,87,2,2,39,2,40,0,1,1,0
"251",3,9,1,9,8,3,182,3,1,49,1,60,1,1,0,1
"252",3,7,2,3,8,3,105,3,1,57,2,43,1,1,0,0
"253",3,7,1,6,7,3,0,3,2,21,2,6,0,1,0,1
"254",2,7,2,3,8,3,70,3,1,33,2,42,1,1,1,0
"255",2,3,1,9,5,2,12,2,2,44,1,48,0,0,1,1
"256",3,8,2,3,6,2,98,2,1,18,2,39,0,1,0,0
"257",2,9,1,5,8,1,12,4,1,75,2,50,1,1,1,0
"258",2,0,3,5,5,2,35,2,2,34,2,66,0,0,1,0
"259",2,5,1,10,7,5,0,3,2,57,2,45,0,0,1,1
"260",3,10,1,10,8,4,150,2,2,52,2,30,1,1,0,1
"261",3,8,1,7,8,4,119,3,1,25,2,45,1,1,0,1
"262",3,8,1,4,9,1,12,3,1,62,2,40,1,1,0,0
"263",2,9,2,4,9,4,124,4,1,37,1,44,1,1,1,0
"264",3,9,2,4,9,5,12,3,1,51,1,27,1,1,0,0
"265",2,9,1,5,9,4,25,3,1,77,2,48,1,1,1,0
"266",2,8,2,5,6,0,38,2,2,59,2,41,0,1,1,0
"267",3,10,3,5,10,2,25,3,1,70,2,20,1,1,0,0
"268",4,7,5,5,7,3,19,2,2,32,1,45,0,1,0,0
"269",2,8,2,8,7,3,99,2,1,58,1,40,0,1,1,1
"270",3,5,1,7,5,4,25,2,4,39,1,40,0,0,0,1
"271",2,10,1,5,9,4,71,4,1,50,1,22,1,1,1,0
"272",3,9,1,5,9,4,19,3,1,19,2,10,1,1,0,0
"273",3,10,2,4,10,3,19,4,1,18,2,15,1,1,0,0
"274",2,8,1,7,8,1,30,3,2,71,2,36,1,1,1,1
"275",3,8,1,10,9,2,48,3,1,39,2,21,1,1,0,1
"276",2,8,1,8,9,3,98,4,1,34,2,40,1,1,1,1
"277",2,7,1,5,5,3,23,2,1,43,1,42,0,1,1,0
"278",3,8,1,5,7,3,12,3,2,17,2,4,0,1,0,0
"279",3,10,2,8,8,1,23,3,1,69,2,50,1,1,0,1
"280",1,8,2,7,8,1,35,2,1,65,2,50,1,1,1,1
"281",3,9,1,3,9,2,80,3,1,23,2,45,1,1,0,0
"282",3,8,1,6,7,2,72,3,1,24,2,15,0,1,0,1
"283",2,8,1,9,9,6,75,3,1,34,2,45,1,1,1,1
"284",3,8,1,2,9,3,35,3,1,22,2,38,1,1,0,0
"285",2,8,1,10,9,4,36,3,2,29,2,15,1,1,1,1
"286",4,9,1,10,9,6,25,4,1,60,1,40,1,1,0,1
"287",1,7,4,9,5,6,25,2,2,60,2,39,0,1,1,1
"288",1,3,1,6,4,5,25,3,1,41,2,60,0,0,1,1
"289",1,6,1,5,7,4,75,3,2,28,2,40,0,0,1,0
"290",2,7,1,4,7,2,350,2,1,32,2,45,0,1,1,0
"291",2,9,1,7,9,3,74,4,1,28,2,38,1,1,1,1
"292",3,10,1,3,10,2,58,4,1,46,2,60,1,1,0,0
"293",1,10,1,7,9,6,74,4,1,48,2,38,1,1,1,1
"294",2,9,1,7,9,3,17,3,1,34,2,40,1,1,1,1
"295",1,7,1,9,8,3,100,3,1,58,2,45,1,1,1,1
"296",3,8,2,8,8,4,12,4,1,66,2,47,1,1,0,1
